event,date,player,elo,color,opponent,result,avg_cp_loss,std_cp_loss
Ischia m g/5,1998.??.??,"Anand, Viswanathan",2770.0,black,Comp Rebel 10,lost,46.98039215686274,66.12154292711189
Ischia m g/5,1998.??.??,"Anand, Viswanathan",2770.0,white,Comp Rebel 10,won,24.17391304347826,41.20326303447447
Ischia m g/15,1998.??.??,"Anand, Viswanathan",2770.0,black,Comp Rebel 10,lost,21.764705882352942,27.365778138923602
Ischia m g/15,1998.??.??,"Anand, Viswanathan",2770.0,white,Comp Rebel 10,draw,41.15625,49.284321400801495
Ischia m,1998.??.??,"Anand, Viswanathan",2770.0,white,Comp Rebel 10,draw,39.4,42.16206826046369
Ischia m,1998.??.??,"Anand, Viswanathan",2770.0,black,Comp Rebel 10,won,36.03703703703704,73.70284756621685
FIDE-Wch k.o. f,1998.??.??,"Karpov, Anatoly",2735.0,white,"Anand, Viswanathan",won,33.45918367346939,91.2198698779937
FIDE-Wch k.o. f,1998.??.??,"Anand, Viswanathan",2770.0,black,"Karpov, Anatoly",lost,38.05154639175258,83.10549389881137
FIDE-Wch k.o. f 25',1998.??.??,"Karpov, Anatoly",2735.0,white,"Anand, Viswanathan",won,17.21153846153846,25.28631169569017
FIDE-Wch k.o. f 25',1998.??.??,"Anand, Viswanathan",2770.0,black,"Karpov, Anatoly",lost,35.411764705882355,82.6417205728363
FIDE-Wch k.o. f,1998.??.??,"Karpov, Anatoly",2735.0,white,"Anand, Viswanathan",draw,11.511111111111111,13.458780235671387
FIDE-Wch k.o. f,1998.??.??,"Anand, Viswanathan",2770.0,black,"Karpov, Anatoly",draw,10.0,13.043516908155304
Linares,1998.??.??,"Anand, Viswanathan",2770.0,white,"Svidler, Peter",won,36.8125,29.333681046708065
Linares,1998.??.??,"Svidler, Peter",2690.0,black,"Anand, Viswanathan",lost,47.774193548387096,55.238900316901706
Linares,1998.??.??,"Svidler, Peter",2690.0,white,"Anand, Viswanathan",draw,19.647058823529413,23.353904262256822
Linares,1998.??.??,"Anand, Viswanathan",2770.0,black,"Svidler, Peter",draw,20.470588235294116,28.587569587988707
Linares,1998.??.??,"Anand, Viswanathan",2770.0,white,"Topalov, Veselin",won,15.117647058823529,19.900878942874908
Linares,1998.??.??,"Topalov, Veselin",2740.0,black,"Anand, Viswanathan",lost,22.597014925373134,30.046759430650077
Madrid Magistral 7th,1998.??.??,"Anand, Viswanathan",2770.0,white,"Adams, Michael",won,19.310344827586206,42.014860628998846
Madrid Magistral 7th,1998.??.??,"Adams, Michael",2670.0,black,"Anand, Viswanathan",lost,37.892857142857146,64.15513523912969
Madrid Magistral 7th,1998.??.??,"Anand, Viswanathan",2770.0,white,"Krasenkow, Michal",won,28.11764705882353,39.5145280102829
Madrid Magistral 7th,1998.??.??,"Krasenkow, Michal",2660.0,black,"Anand, Viswanathan",lost,45.515151515151516,77.64180427084104
Madrid Magistral 7th,1998.??.??,"Leko, Peter",2670.0,white,"Anand, Viswanathan",draw,13.0,25.319773085296582
Madrid Magistral 7th,1998.??.??,"Anand, Viswanathan",2770.0,black,"Leko, Peter",draw,23.2,36.96701232179847
Hoogovens,1998.??.??,"Anand, Viswanathan",2770.0,white,"Kramnik, Vladimir",draw,19.3,28.448374294500557
Hoogovens,1998.??.??,"Kramnik, Vladimir",2790.0,black,"Anand, Viswanathan",draw,20.105263157894736,32.328730479318736
EUCup final 14th,1999.01.11,"Anand, Viswanathan",2795.0,white,"Oll, Lembit",won,29.82758620689655,48.453368243844544
EUCup final 14th,1999.01.11,"Oll, Lembit",2650.0,black,"Anand, Viswanathan",lost,45.357142857142854,52.94958133229484
EUCup final 14th,1999.01.12,"Anand, Viswanathan",2784.0,white,"Khalifman, Alexander",draw,22.789473684210527,22.43723162248156
EUCup final 14th,1999.01.12,"Khalifman, Alexander",2616.0,black,"Anand, Viswanathan",draw,19.42105263157895,23.383115342111562
Hoogovens,1999.01.16,"Reinderman, Dimitri",2540.0,white,"Anand, Viswanathan",lost,65.48148148148148,68.59563228205994
Hoogovens,1999.01.16,"Anand, Viswanathan",2780.0,black,"Reinderman, Dimitri",won,31.296296296296298,52.06677679232542
Hoogovens,1999.01.17,"Anand, Viswanathan",2784.0,white,"Piket, Jeroen",won,25.612903225806452,55.36021479269982
Hoogovens,1999.01.17,"Piket, Jeroen",2609.0,black,"Anand, Viswanathan",lost,36.266666666666666,38.33617380780485
Hoogovens 5',1999.01.18,"Bosboom, Manuel",2490.0,white,"Anand, Viswanathan",lost,39.951219512195124,43.16330375672971
Hoogovens 5',1999.01.18,"Anand, Viswanathan",2784.0,black,"Bosboom, Manuel",won,29.48780487804878,33.335048538064235
